iter	Passed	Remaining
0	2264	224200
1	3062	150053
2	3784	122361
3	4514	108351
4	5242	99606
5	6020	94316
6	6776	90028
7	7537	86678
8	8374	84673
9	9383	84449
10	10601	85776
11	11651	85441
12	12682	84874
13	13689	84094
14	14696	83282
15	15871	83327
16	16783	81942
17	17977	81897
18	19013	81058
19	20004	80018
20	20745	78042
21	21478	76151
22	22216	74377
23	22960	72708
24	23837	71512
25	24752	70448
26	25598	69210
27	26482	68097
28	27315	66877
29	28257	65933
30	29041	64641
31	30140	64047
32	31098	63139
33	32080	62274
34	32951	61195
35	33877	60227
36	34905	59432
37	35756	58339
38	36503	57095
39	37329	55993
40	38194	54963
41	39248	54200
42	40283	53399
43	41398	52689
44	42521	51970
45	44480	52215
46	46288	52197
47	47832	51818
48	49382	51397
49	51222	51222
50	53022	50943
51	54957	50729
52	56873	50434
53	58642	49955
54	59924	49029
55	61202	48087
56	62260	46968
57	63340	45867
58	64393	44747
59	65330	43553
60	66327	42405
61	67293	41244
62	68131	40013
63	69092	38864
64	70007	37696
65	70931	36540
66	71714	35322
67	72559	34145
68	73419	32985
69	74468	31915
70	75494	30835
71	76428	29722
72	77686	28733
73	78839	27700
74	79959	26653
75	81088	25607
76	81964	24482
77	82826	23361
78	83695	22248
79	84554	21138
80	85475	20049
81	86343	18953
82	87266	17873
83	88124	16785
84	88991	15704
85	89953	14643
86	90846	13574
87	91638	12496
88	92384	11418
89	93126	10347
90	93857	9282
91	94578	8224
92	95304	7173
93	96036	6129
94	96757	5092
95	97516	4063
96	98262	3039
97	99007	2020
98	99756	1007
99	100505	0
